

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
176.967  000.223  000.223: require('luasnip.util.str')
176.975  003.271  000.376: require('luasnip.util.parser')
177.564  000.286  000.286: require('luasnip.extras.filetype_functions')
177.732  000.155  000.155: require('luasnip.nodes.absolute_indexer')
178.006  000.271  000.271: require('luasnip.extras')
178.306  000.296  000.296: require('luasnip.extras.fmt')
178.878  000.179  000.179: require('luasnip.extras.conditions')
179.053  000.154  000.154: require('luasnip.extras.conditions.show')
179.115  000.655  000.322: require('luasnip.extras.conditions.expand')
179.117  000.808  000.152: require('luasnip.extras.expand_conditions')
179.326  000.206  000.206: require('luasnip.extras.postfix')
179.591  002.614  000.592: require('luasnip.config')
179.596  014.971  000.746: require('luasnip')
180.272  000.284  000.284: require('luasnip.loaders.util')
180.468  000.192  000.192: require('luasnip.nodes.snippetProxy')
180.476  000.877  000.401: require('luasnip.loaders.from_vscode')
182.445  000.322  000.322: require('cmp.utils.debug')
183.090  000.340  000.340: require('cmp.utils.char')
183.099  000.649  000.309: require('cmp.utils.str')
183.329  000.228  000.228: require('cmp.utils.pattern')
184.372  000.365  000.365: require('cmp.utils.misc')
184.590  000.214  000.214: require('cmp.utils.buffer')
184.869  000.276  000.276: require('cmp.utils.api')
184.877  001.283  000.429: require('cmp.utils.keymap')
184.881  001.548  000.265: require('cmp.utils.feedkeys')
185.211  000.328  000.328: require('cmp.utils.async')
186.029  000.242  000.242: require('cmp.types.cmp')
186.404  000.370  000.370: require('cmp.types.lsp')
186.648  000.240  000.240: require('cmp.types.vim')
186.652  001.170  000.317: require('cmp.types')
186.929  000.275  000.275: require('cmp.utils.cache')
186.935  001.720  000.275: require('cmp.context')
188.310  000.457  000.457: require('cmp.config.mapping')
188.998  000.400  000.400: require('cmp.config.compare')
189.002  000.686  000.286: require('cmp.config.default')
189.014  001.559  000.416: require('cmp.config')
190.098  000.377  000.377: require('cmp.matcher')
190.106  001.090  000.713: require('cmp.entry')
190.113  003.177  000.528: require('cmp.source')
190.690  000.236  000.236: require('cmp.utils.event')
191.550  000.432  000.432: require('cmp.utils.window')
191.555  000.861  000.429: require('cmp.view.docs_view')
192.408  000.253  000.253: require('cmp.utils.autocmd')
192.421  000.864  000.612: require('cmp.view.custom_entries_view')
192.855  000.433  000.433: require('cmp.view.wildmenu_entries_view')
193.215  000.356  000.356: require('cmp.view.native_entries_view')
193.497  000.277  000.277: require('cmp.view.ghost_text_view')
193.516  003.400  000.373: require('cmp.view')
193.563  012.099  000.726: require('cmp.core')
193.884  000.222  000.222: require('cmp.config.sources')
194.093  000.205  000.205: require('cmp.config.window')
194.148  013.366  000.840: require('cmp')
194.580  000.429  000.429: require('lspkind')
197.233  000.234  000.234: require('nvim-autopairs._log')
197.595  000.357  000.357: require('nvim-autopairs.utils')
198.775  000.454  000.454: require('nvim-autopairs.conds')
198.783  000.816  000.362: require('nvim-autopairs.rule')
198.785  001.185  000.369: require('nvim-autopairs.rules.basic')
198.794  002.589  000.812: require('nvim-autopairs')
199.059  000.262  000.262: require('nvim-autopairs.completion.handlers')
199.067  003.391  000.540: require('nvim-autopairs.completion.cmp')
199.141  034.720  001.685: require('lsp-config.nvim-cmp')
199.394  000.249  000.249: require('lsp-config.handlers')
199.974  000.440  000.440: require('lspconfig.ui.windows')
199.978  000.581  000.140: require('lsp-config.settings')
199.980  055.112  000.153: require('lsp-config')
199.983  179.656  000.146: sourcing /home/adri/.config/nvim/init.lua
199.997  007.898: sourcing vimrc file(s)
200.913  000.114  000.114: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
201.370  000.103  000.103: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/ultisnips/ftdetect/snippets.vim
201.649  000.119  000.119: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
202.169  000.122  000.122: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/vimtex/ftdetect/cls.vim
202.312  000.119  000.119: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/vimtex/ftdetect/tex.vim
202.438  000.103  000.103: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/vimtex/ftdetect/tikz.vim
202.833  002.421  001.741: sourcing /usr/local/share/nvim/runtime/filetype.lua
203.021  000.153  000.153: sourcing /usr/local/share/nvim/runtime/filetype.vim
205.209  000.205  000.205: sourcing /usr/local/share/nvim/runtime/syntax/synload.vim
205.363  001.895  001.691: sourcing /usr/local/share/nvim/runtime/syntax/syntax.vim
206.898  000.231  000.231: sourcing /usr/local/share/nvim/runtime/plugin/gzip.vim
207.029  000.107  000.107: sourcing /usr/local/share/nvim/runtime/plugin/health.vim
207.169  000.119  000.119: sourcing /usr/local/share/nvim/runtime/plugin/man.vim
207.942  000.272  000.272: sourcing /usr/local/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
208.053  000.863  000.591: sourcing /usr/local/share/nvim/runtime/plugin/matchit.vim
